"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"20:26:36:603","484439204828306","   1.006","   5.850"," 1902"," 1200"," 3600"," 1927","  15.725","  15.816","   4.393","   4.275","   4.299","   1.194"," 74","0"," 62"," 71","   1.024","   1.030","   0.286","  45.000"," 1150"," 1200"
"20:26:37:614","484441534365978","   2.017","   6.927"," 1993"," 1200"," 3600"," 2179","  16.724","  32.725","   9.090","   5.059","   9.415","   2.615"," 77","0"," 62"," 72","   1.119","   2.161","   0.600","  45.000"," 1150"," 1200"
"20:26:38:623","484443859568332","   3.026","   5.665"," 1800"," 1200"," 3600"," 1857","  15.171","  48.036","  13.343","   3.737","  13.186","   3.663"," 73","0"," 62"," 74","   0.990","   3.160","   0.878","  45.000"," 1150"," 1133"
"20:26:39:633","484446187622354","   4.036","   4.990"," 1601"," 1200"," 3100"," 1613","  14.269","  62.454","  17.348","   3.020","  16.237","   4.510"," 75","0"," 62"," 65","   0.960","   4.130","   1.147","  45.000"," 1150"," 1200"
"20:26:40:634","484448492435176","   5.037","   5.496"," 1882"," 1200"," 4300"," 2009","  14.987","  77.446","  21.513","   4.102","  20.341","   5.650"," 69","0"," 62"," 77","   1.024","   5.154","   1.432","  45.000","    0","    0"
"20:26:41:635","484450800510400","   6.039","   4.910"," 1610"," 1200"," 3100"," 1621","  12.719","  90.188","  25.052","   2.896","  23.241","   6.456"," 75","0"," 62"," 65","   0.959","   6.115","   1.699","  45.000"," 1150"," 1133"

"Total Elapsed Time (sec) = 6.038592"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 90.187744"
"Cumulative Package Energy_0 (mWh) = 25.052151"
"Average Package Power_0 (Watt) = 14.935227"

"Cumulative IA Energy_0 (Joules) = 23.241150"
"Cumulative IA Energy_0 (mWh) = 6.455875"
"Average Package IA_0 (Watt) = 3.848770"

"Cumulative DRAM Energy_0 (Joules) = 6.114990"
"Cumulative DRAM Energy_0 (mWh) = 1.698608"
"Average Package DRAM_0 (Watt) = 1.012652"
