"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:16:28:990","29017507175656","   1.008","   4.982"," 1498"," 1200"," 3100"," 1505","  13.490","  13.599","   3.778","   2.882","   2.905","   0.807"," 75","0"," 61"," 64","   0.973","   0.981","   0.272","  45.000"," 1150"," 1200"
"03:16:30:006","29019846348992","   2.023","   5.870"," 1641"," 1200"," 3700"," 1703","  13.698","  27.506","   7.641","   3.578","   6.538","   1.816"," 74","0"," 61"," 73","   0.996","   1.992","   0.553","  45.000"," 1100"," 1100"
"03:16:31:007","29022153168332","   3.025","   4.831"," 1505"," 1200"," 3100"," 1513","  12.776","  40.297","  11.194","   2.778","   9.319","   2.589"," 69","0"," 61"," 64","   0.936","   2.929","   0.814","  45.000","    0","    0"
"03:16:32:008","29024458821416","   4.025","   4.887"," 1480"," 1200"," 3000"," 1485","  13.198","  53.505","  14.863","   2.802","  12.123","   3.367"," 69","0"," 61"," 64","   0.937","   3.867","   1.074","  45.000","    0","    0"
"03:16:33:008","29026764481198","   5.026","   4.843"," 1453"," 1200"," 2500"," 1462","  13.215","  66.730","  18.536","   2.767","  14.891","   4.136"," 74","0"," 61"," 64","   0.929","   4.797","   1.332","  45.000"," 1150"," 1200"
"03:16:34:015","29029083324438","   6.033","   4.603"," 1466"," 1200"," 2800"," 1474","  13.220","  80.035","  22.232","   2.721","  17.630","   4.897"," 69","0"," 61"," 64","   0.928","   5.730","   1.592","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.032511"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 80.034851"
"Cumulative Package Energy_0 (mWh) = 22.231903"
"Average Package Power_0 (Watt) = 13.267253"

"Cumulative IA Energy_0 (Joules) = 17.629944"
"Cumulative IA Energy_0 (mWh) = 4.897207"
"Average Package IA_0 (Watt) = 2.922488"

"Cumulative DRAM Energy_0 (Joules) = 5.730469"
"Cumulative DRAM Energy_0 (mWh) = 1.591797"
"Average Package DRAM_0 (Watt) = 0.949931"
