"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:17:40:822","62360087661082","   1.002","   5.180"," 1602"," 1200"," 3600"," 1616","  14.444","  14.479","   4.022","   3.259","   3.267","   0.907"," 76","0"," 63"," 67","   1.029","   1.031","   0.286","  45.000"," 1150"," 1133"
"07:17:41:840","62362432904704","   2.020","   5.473"," 1746"," 1200"," 3700"," 1810","  14.652","  29.394","   8.165","   3.819","   7.154","   1.987"," 77","0"," 63"," 75","   0.969","   2.017","   0.560","  45.000"," 1150"," 1133"
"07:17:42:849","62364756469836","   3.029","   4.886"," 1461"," 1200"," 2500"," 1469","  13.601","  43.110","  11.975","   2.859","  10.038","   2.788"," 75","0"," 63"," 67","   0.943","   2.969","   0.825","  45.000","    0","    0"
"07:17:43:859","62367083465540","   4.039","   4.983"," 1549"," 1200"," 3100"," 1560","  13.526","  56.772","  15.770","   3.011","  13.079","   3.633"," 72","0"," 63"," 68","   0.949","   3.927","   1.091","  45.000"," 1100"," 1100"
"07:17:44:869","62369410069260","   5.049","   4.871"," 1551"," 1200"," 3600"," 1562","  13.898","  70.806","  19.668","   3.006","  16.114","   4.476"," 75","0"," 63"," 66","   0.980","   4.917","   1.366","  45.000"," 1150"," 1200"
"07:17:45:875","62371729266852","   6.055","   5.123"," 1509"," 1200"," 3600"," 1516","  13.844","  84.741","  23.539","   3.000","  19.134","   5.315"," 73","0"," 63"," 66","   0.975","   5.898","   1.638","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.055255"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 84.741455"
"Cumulative Package Energy_0 (mWh) = 23.539293"
"Average Package Power_0 (Watt) = 13.994696"

"Cumulative IA Energy_0 (Joules) = 19.134460"
"Cumulative IA Energy_0 (mWh) = 5.315128"
"Average Package IA_0 (Watt) = 3.159976"

"Cumulative DRAM Energy_0 (Joules) = 5.897766"
"Cumulative DRAM Energy_0 (mWh) = 1.638268"
"Average Package DRAM_0 (Watt) = 0.973991"
