#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
19,11-10-23T20-00-54,mono,api-baseline,29.151536,9.639706,4.818776,5.477210,34.702942,17.347595,19.717957,36.0
19,11-10-23T20-00-54,mono,api-monitor,29.155693,9.248081,4.517873,5.447727,33.293091,16.264343,19.611816,34.758620689655174
19,11-10-23T20-00-54,mono,frontend-baseline,40.202860,14.797719,7.965936,7.614085,53.271790,28.677368,27.410706,34.4
19,11-10-23T20-00-54,mono,frontend-monitor,40.175905,12.451002,5.838691,7.544759,44.823608,21.019287,27.161133,36.05
2,11-10-23T20-00-54,mono,api-baseline,29.135952,76.399163,30.266571,7.820418,275.036987,108.959656,28.153503,67.65517241379311
2,11-10-23T20-00-54,mono,api-monitor,29.174291,97.014025,53.118863,7.684428,349.250488,191.227905,27.663940,66.89655172413794
2,11-10-23T20-00-54,mono,frontend-baseline,40.237123,133.911641,44.266340,11.549004,482.081909,159.358826,41.576416,69.675
2,11-10-23T20-00-54,mono,frontend-monitor,40.207136,87.652367,30.426314,10.076989,315.548523,109.534729,36.277161,66.45
20,11-10-23T20-00-54,mono,api-baseline,29.163247,12.781898,7.871992,5.476023,46.014832,28.339172,19.713684,35.241379310344826
20,11-10-23T20-00-54,mono,api-monitor,29.129101,10.193210,5.433875,5.426788,36.695557,19.561951,19.536438,34.3448275862069
20,11-10-23T20-00-54,mono,frontend-baseline,40.159886,12.377506,5.730116,7.549540,44.559021,20.628418,27.178345,34.6
20,11-10-23T20-00-54,mono,frontend-monitor,40.206218,12.668694,5.971273,7.563680,45.607300,21.496582,27.229248,36.1
21,11-10-23T20-00-54,mono,api-baseline,29.149245,9.508243,4.737261,5.466749,34.229675,17.054138,19.680298,34.44827586206897
21,11-10-23T20-00-54,mono,api-monitor,29.172365,9.348687,4.497782,5.507711,33.655273,16.192017,19.827759,34.0
21,11-10-23T20-00-54,mono,frontend-baseline,40.214133,13.351288,6.574419,7.527805,48.064636,23.667908,27.100098,35.0
21,11-10-23T20-00-54,mono,frontend-monitor,40.213549,12.529009,5.884874,7.540622,45.104431,21.185547,27.146240,36.1
22,11-10-23T20-00-54,mono,api-baseline,29.158386,9.135454,4.380985,5.456068,32.887634,15.771545,19.641846,34.37931034482759
