#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
19,24-10-23T15-12-45,mono,api-baseline,32.134492,12.494100,6.453705,6.172689,44.978760,23.233337,22.221680,37.46875
19,24-10-23T15-12-45,mono,api-monitor,32.173561,12.747074,6.869032,6.148122,45.889465,24.728516,22.133240,36.40625
19,24-10-23T15-12-45,mono,frontend-baseline,79.430066,31.479221,16.797791,15.193871,113.325195,60.472046,54.697937,37.08860759493671
19,24-10-23T15-12-45,mono,frontend-monitor,79.389150,271.961500,232.506782,26.531067,979.061401,837.024414,95.511841,47.32911392405063
2,24-10-23T15-12-45,mono,api-baseline,32.137755,12.598996,6.728227,6.121826,45.356384,24.221619,22.038574,39.6875
2,24-10-23T15-12-45,mono,api-monitor,32.116309,32.081129,21.716885,5.943129,115.492065,78.180786,21.395264,39.40625
2,24-10-23T15-12-45,mono,frontend-baseline,79.288126,31.294166,16.454671,15.218048,112.658997,59.236816,54.784973,39.21518987341772
2,24-10-23T15-12-45,mono,frontend-monitor,79.447670,259.163022,220.160811,26.298370,932.986877,792.578918,94.674133,48.55696202531646
20,24-10-23T15-12-45,mono,api-baseline,32.130596,28.388926,20.557217,6.562059,102.200134,74.005981,23.623413,37.75
20,24-10-23T15-12-45,mono,api-monitor,32.086477,117.118988,106.741655,6.419135,421.628357,384.269958,23.108887,59.46875
20,24-10-23T15-12-45,mono,frontend-baseline,79.411671,35.453508,19.310676,15.515154,127.632629,69.518433,55.854553,39.037974683544306
20,24-10-23T15-12-45,mono,frontend-monitor,79.380316,314.725698,274.193709,27.059309,1133.012512,987.097351,97.413513,48.68354430379747
21,24-10-23T15-12-45,mono,api-baseline,32.115771,23.080631,16.737061,6.179911,83.090271,60.253418,22.247681,37.78125
21,24-10-23T15-12-45,mono,api-monitor,32.148541,22.447340,15.175764,6.380988,80.810425,54.632751,22.971558,35.5
21,24-10-23T15-12-45,mono,frontend-baseline,79.377060,38.737047,22.122040,15.643446,139.453369,79.639343,56.316406,37.24050632911393
21,24-10-23T15-12-45,mono,frontend-monitor,79.388842,290.111762,245.397678,27.740139,1044.402344,883.431641,99.864502,48.79746835443038
22,24-10-23T15-12-45,mono,api-baseline,32.183467,16.528507,9.141998,6.468709,59.502625,32.911194,23.287354,38.09375
22,24-10-23T15-12-45,mono,api-monitor,32.151959,14.653625,8.529833,6.161889,52.753052,30.707397,22.182800,36.09375
22,24-10-23T15-12-45,mono,frontend-baseline,79.338586,35.331506,19.309319,15.460425,127.193420,69.513550,55.657532,36.962025316455694
22,24-10-23T15-12-45,mono,frontend-monitor,79.382916,254.390276,215.810123,26.191338,915.804993,776.916443,94.288818,46.58227848101266
23,24-10-23T15-12-45,mono,api-baseline,32.146287,13.029819,7.017517,6.191813,46.907349,25.263062,22.290527,36.0
23,24-10-23T15-12-45,mono,api-monitor,32.087354,31.195848,23.425547,6.549530,112.305054,84.331970,23.578308,37.46875
23,24-10-23T15-12-45,mono,frontend-baseline,79.369363,36.497548,20.416022,15.474497,131.391174,73.497681,55.708191,37.24050632911393
23,24-10-23T15-12-45,mono,frontend-monitor,79.433397,263.912133,221.827969,27.408108,950.083679,798.580688,98.669189,46.860759493670884
24,24-10-23T15-12-45,mono,api-baseline,32.110273,13.469306,7.506816,6.161855,48.489502,27.024536,22.182678,37.03125
24,24-10-23T15-12-45,mono,api-monitor,32.179709,17.794902,10.377265,6.452467,64.061646,37.358154,23.228882,36.4375
24,24-10-23T15-12-45,mono,frontend-baseline,79.366821,36.866404,20.566711,15.514679,132.719055,74.040161,55.852844,36.848101265822784
24,24-10-23T15-12-45,mono,frontend-monitor,79.362843,354.530640,308.452979,28.081241,1276.310303,1110.430725,101.092468,51.721518987341774
25,24-10-23T15-12-45,mono,api-baseline,32.154906,12.439507,6.552616,6.141307,44.782227,23.589417,22.108704,37.3125
25,24-10-23T15-12-45,mono,api-monitor,32.113312,17.704027,10.574324,6.402842,63.734497,38.067566,23.050232,35.9375
25,24-10-23T15-12-45,mono,frontend-baseline,79.264051,81.333449,51.780633,18.218892,292.800415,186.410278,65.588013,39.74683544303797
25,24-10-23T15-12-45,mono,frontend-monitor,79.343288,351.277991,286.268870,32.520464,1264.600769,1030.567932,117.073669,69.0506329113924
26,24-10-23T15-12-45,mono,api-baseline,32.093971,49.936710,33.300239,8.429074,179.772156,119.880859,30.344666,60.90625
26,24-10-23T15-12-45,mono,api-monitor,32.107179,42.022773,25.590532,8.349508,151.281982,92.125916,30.058228,58.9375
26,24-10-23T15-12-45,mono,frontend-baseline,79.334413,109.625668,67.223053,20.860155,394.652405,242.002991,75.096558,64.31645569620254
26,24-10-23T15-12-45,mono,frontend-monitor,79.339314,327.085080,264.424303,31.884986,1177.506287,951.927490,114.785950,74.53164556962025
27,24-10-23T15-12-45,mono,api-baseline,32.128363,35.499556,20.205146,8.205007,127.798401,72.738525,29.538025,63.65625
27,24-10-23T15-12-45,mono,api-monitor,32.120267,33.931970,17.799377,8.222690,122.155090,64.077759,29.601685,63.40625
27,24-10-23T15-12-45,mono,frontend-baseline,79.278641,92.361705,51.254934,20.670658,332.502136,184.517761,74.414368,61.962025316455694
27,24-10-23T15-12-45,mono,frontend-monitor,79.391325,374.918128,314.876285,30.946062,1349.705261,1133.554626,111.405823,76.88607594936708
28,24-10-23T15-12-45,mono,api-baseline,32.116321,41.475304,25.623389,8.300425,149.311096,92.244202,29.881531,60.84375
28,24-10-23T15-12-45,mono,api-monitor,32.151014,19.801229,12.049917,6.483968,71.284424,43.379700,23.342285,49.9375
28,24-10-23T15-12-45,mono,frontend-baseline,79.312556,37.575582,20.766602,15.546451,135.272095,74.759766,55.967224,44.392405063291136
28,24-10-23T15-12-45,mono,frontend-monitor,79.369498,262.579888,219.031372,27.604201,945.287598,788.512939,99.375122,52.21518987341772
29,24-10-23T15-12-45,mono,api-baseline,32.131667,11.859589,6.084815,6.108280,42.694519,21.905334,21.989807,40.4375
29,24-10-23T15-12-45,mono,api-monitor,32.165514,16.961619,9.462738,6.481561,61.061829,34.065857,23.333618,38.25
29,24-10-23T15-12-45,mono,frontend-baseline,79.373846,37.869551,21.462487,15.542959,136.330383,77.264954,55.954651,38.79746835443038
29,24-10-23T15-12-45,mono,frontend-monitor,79.364272,268.132511,227.324270,26.708493,965.277039,818.367371,96.150574,48.25316455696203
3,24-10-23T15-12-45,mono,api-baseline,32.081650,88.223504,76.428867,8.577627,317.604614,275.143921,30.879456,51.90625
3,24-10-23T15-12-45,mono,api-monitor,32.104428,59.420386,48.645528,6.411692,213.913391,175.123901,23.082092,48.9375
3,24-10-23T15-12-45,mono,frontend-baseline,79.289365,262.505883,233.150431,20.865258,945.021179,839.341553,75.114929,55.32911392405063
3,24-10-23T15-12-45,mono,frontend-monitor,79.252019,457.348311,414.617581,29.158580,1646.453918,1492.623291,104.970886,67.54430379746836
30,24-10-23T15-12-45,mono,api-baseline,32.131397,13.754696,7.131653,6.378530,49.516907,25.673950,22.962708,37.40625
