"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:35:57:359","24937748458851","   1.010","   1.432"," 1588"," 1200"," 2700"," 1616","   1.217","   1.229","   0.341","   0.231","   0.233","   0.065"," 34","0"," 31"," 36","   0.552","   0.558","   0.155","  45.000","    0","    0"
"02:35:58:376","24940701095751","   2.027","   3.720"," 2599"," 1200"," 3500"," 3027","   2.440","   3.710","   1.031","   1.467","   1.725","   0.479"," 34","0"," 31"," 49","   0.564","   1.131","   0.314","  45.000","    0","    0"
"02:35:59:384","24943629465949","   3.035","   0.719"," 1360"," 1200"," 2000"," 1363","   1.033","   4.752","   1.320","   0.099","   1.825","   0.507"," 34","0"," 31"," 35","   0.514","   1.649","   0.458","  45.000","    0","    0"
"02:36:00:392","24946556639861","   4.043","   1.589"," 1697"," 1200"," 2700"," 1722","   1.264","   6.026","   1.674","   0.276","   2.104","   0.584"," 34","0"," 31"," 35","   0.556","   2.210","   0.614","  45.000","    0","    0"
"02:36:01:403","24949491037763","   5.054","   0.780"," 1576"," 1200"," 2700"," 1594","   1.077","   7.114","   1.976","   0.134","   2.239","   0.622"," 34","0"," 31"," 35","   0.515","   2.730","   0.758","  45.000","    0","    0"

"Total Elapsed Time (sec) = 5.053874"
"Measured RDTSC Frequency (GHz) = 2.904"

"Cumulative Package Energy_0 (Joules) = 7.113953"
"Cumulative Package Energy_0 (mWh) = 1.976098"
"Average Package Power_0 (Watt) = 1.407624"

"Cumulative IA Energy_0 (Joules) = 2.239258"
"Cumulative IA Energy_0 (mWh) = 0.622016"
"Average Package IA_0 (Watt) = 0.443077"

"Cumulative DRAM Energy_0 (Joules) = 2.729858"
"Cumulative DRAM Energy_0 (mWh) = 0.758294"
"Average Package DRAM_0 (Watt) = 0.540152"
