Iteration,Architecture,File Name,Duration,# Iterations,Cumulative Package Energy_0 (mWh)
9,mono,9-frontend-baseline.csv,5,10,3.217536
9,mono,9-frontend-monitor.csv,5,10,3.187137
1,micro,1-api-baseline.csv,5,10,17.741360
1,micro,1-api-monitor.csv,5,10,17.664981
1,micro,1-frontend-baseline.csv,5,10,9.519840
1,micro,1-frontend-monitor.csv,5,10,8.353204
10,micro,10-api-baseline.csv,5,10,3.985477
10,micro,10-api-monitor.csv,5,10,6.570841
10,micro,10-frontend-baseline.csv,5,10,5.579902
10,micro,10-frontend-monitor.csv,5,10,6.435496
2,micro,2-api-baseline.csv,5,10,4.052344
2,micro,2-api-monitor.csv,5,10,4.933963
2,micro,2-frontend-baseline.csv,5,10,7.192010
2,micro,2-frontend-monitor.csv,5,10,6.705848
3,micro,3-api-baseline.csv,5,10,4.834832
3,micro,3-api-monitor.csv,5,10,4.725308
3,micro,3-frontend-baseline.csv,5,10,27.336782
3,micro,3-frontend-monitor.csv,5,10,47.376438
4,micro,4-api-baseline.csv,5,10,31.352895
4,micro,4-api-monitor.csv,5,10,40.981293
4,micro,4-frontend-baseline.csv,5,10,75.484924
4,micro,4-frontend-monitor.csv,5,10,35.154792
5,micro,5-api-baseline.csv,5,10,41.513824
5,micro,5-api-monitor.csv,5,10,21.747759
5,micro,5-frontend-baseline.csv,5,10,25.659214
5,micro,5-frontend-monitor.csv,5,10,23.537869
6,micro,6-api-baseline.csv,5,10,13.619012
6,micro,6-api-monitor.csv,5,10,5.320960
6,micro,6-frontend-baseline.csv,5,10,6.087697
6,micro,6-frontend-monitor.csv,5,10,6.943665
7,micro,7-api-baseline.csv,5,10,4.125790
7,micro,7-api-monitor.csv,5,10,27.406718
7,micro,7-frontend-baseline.csv,5,10,26.996613
7,micro,7-frontend-monitor.csv,5,10,35.526123
8,micro,8-api-baseline.csv,5,10,23.958842
8,micro,8-api-monitor.csv,5,10,24.450463
8,micro,8-frontend-baseline.csv,5,10,36.968587
8,micro,8-frontend-monitor.csv,5,10,70.850508
9,micro,9-api-baseline.csv,5,10,40.378130
9,micro,9-api-monitor.csv,5,10,47.743954
9,micro,9-frontend-baseline.csv,5,10,15.087212
9,micro,9-frontend-monitor.csv,5,10,6.216159
1,mono,1-api-baseline.csv,5,10,28.141310
1,mono,1-api-monitor.csv,5,10,28.578033
