Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,1,107.36977309934876,True
1,micro,2,140.87704115237764,True
1,micro,3,264.73500833690457,True
1,mono,1,107.46989191261834,True
1,mono,2,149.5823504451661,True
1,mono,3,285.1454040288933,True
2,micro,1,101.54071833311626,True
2,micro,2,133.2622495804649,True
2,micro,3,250.2107995630607,True
2,mono,1,101.6345029461104,True
2,mono,2,141.41321187334628,True
2,mono,3,269.375961430193,True
3,micro,1,108.87256608846326,True
3,micro,2,143.2227939470149,True
3,micro,3,266.73769733207706,True
3,mono,1,108.9640094920433,True
3,mono,2,151.1335334753965,True
3,mono,3,285.8959847826638,True
4,micro,1,110.7037135414744,True
4,micro,2,145.03602023320593,True
4,micro,3,273.9359590432481,True
4,mono,1,110.81274492422449,True
4,mono,2,154.53945487199155,True
4,mono,3,295.86581753773146,True
5,micro,1,108.7308626449847,True
5,micro,2,142.58050699253283,True
5,micro,3,268.46604134721645,True
5,mono,1,108.8344704347735,True
5,mono,2,151.59804758233966,True
5,mono,3,289.4739311245825,True
6,micro,1,104.73040424284224,True
6,micro,2,137.5013737872915,True
6,micro,3,257.8294598847621,True
6,mono,1,104.82570753791627,True
6,mono,2,145.77857174737164,True
6,mono,3,277.3788286144572,True
7,micro,1,103.07481144772979,True
7,micro,2,135.3559662468866,True
7,micro,3,253.6251147279641,True
7,mono,1,103.16784743771045,True
7,mono,2,143.43313290046396,True
7,mono,3,272.749350205456,True
8,micro,1,105.62238817745526,True
8,micro,2,138.60928492532284,True
8,micro,3,260.31303592244035,True
8,mono,1,105.72020557469148,True
8,mono,2,147.11180258432046,True
8,mono,3,280.2887057564743,True
9,micro,1,108.5138903299111,True
9,micro,2,142.36644666461788,True
9,micro,3,267.6095307267797,True
9,mono,1,108.61539287718328,True
9,mono,2,151.19333690644117,True
9,mono,3,288.2857752503855,True
10,micro,1,109.82454815974727,True
10,micro,2,144.05121319976698,True
10,micro,3,271.00009117300004,True
10,mono,1,109.92821357140028,True
10,mono,2,153.06992111155344,True
10,mono,3,292.06904503486425,True
11,micro,1,123.89048628195138,True
11,micro,2,162.29273911380224,True
11,micro,3,306.65599843090837,True
11,mono,1,124.01303441551784,True
11,mono,2,172.9763268688581,True
11,mono,3,331.2788485367683,True
12,micro,1,108.03569685117495,True
12,micro,2,141.67008154319095,True
12,micro,3,266.7443506767211,True
12,mono,1,108.1386110678718,True
12,mono,2,150.62713496665847,True
12,mono,3,287.61317200900504,True
13,micro,1,112.79754117176401,True
13,micro,2,147.81346372803426,True
13,micro,3,278.96114149976665,True
13,mono,1,112.90771158492895,True
13,mono,2,157.4126882472248,True
13,mono,3,301.1648948141472,True
14,micro,1,113.78634440987813,True
14,micro,2,148.97843173061054,True
14,micro,3,282.00203260719695,True
14,mono,1,113.90100471926453,True
14,mono,2,158.98230124969797,True
14,mono,3,304.93823501474446,True
15,micro,1,112.50034906860154,True
15,micro,2,147.6532772900124,True
15,micro,3,277.1823556671545,True
15,mono,1,112.60405177888607,True
15,mono,2,156.66541226353152,True
