Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,3,942.7025145,False
2,micro,3,893.0532225,False
3,micro,3,539.6319275,False
4,micro,3,418.35073850000003,False
5,micro,3,400.677887,False
6,micro,3,385.230316,False
7,micro,3,418.095093,False
8,micro,3,398.4983215,False
9,micro,3,434.34866300000004,False
10,micro,3,539.3640445,False
11,micro,3,448.510071,False
12,micro,3,567.0245365,False
13,micro,3,1264.3627015,False
14,micro,3,522.9510805,False
15,micro,3,453.49319449999996,False
16,micro,3,438.90762300000006,False
17,micro,3,440.1181945,False
18,micro,3,525.7893065000001,False
19,micro,3,457.444733,False
20,micro,3,487.7895205,False
21,micro,3,543.139984,False
22,micro,3,514.378235,False
23,micro,3,434.3792115,False
24,micro,3,446.89437899999996,False
25,micro,3,548.0056155000001,False
26,micro,3,450.4322815,False
27,micro,3,421.828247,False
28,micro,3,546.658081,False
29,micro,3,1009.2059630000001,False
30,micro,3,444.31124900000003,False
1,mono,3,409.556061,False
2,mono,3,392.082428,False
3,mono,3,358.172821,False
4,mono,3,422.8947445,False
5,mono,3,406.536896,False
6,mono,3,520.8002625,False
7,mono,3,436.8217775,False
8,mono,3,385.1250915,False
9,mono,3,439.69635,False
10,mono,3,410.4129335,False
11,mono,3,404.975311,False
12,mono,3,421.22995,False
13,mono,3,647.5386965,False
14,mono,3,390.3048095,False
15,mono,3,615.181244,False
16,mono,3,381.059723,False
17,mono,3,412.7476505,False
18,mono,3,386.5532225,False
19,mono,3,430.008331,False
20,mono,3,424.333313,False
21,mono,3,422.06176750000003,False
22,mono,3,404.848236,False
23,mono,3,502.21200600000003,False
24,mono,3,799.2225649999999,False
25,mono,3,780.8362119999999,False
26,mono,3,825.6677549999999,False
27,mono,3,373.045166,False
28,mono,3,372.95489499999996,False
29,mono,3,385.085083,False
30,mono,3,369.83108500000003,False
