"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"03:23:45:797","257777190244268","   1.009","  16.398"," 2101"," 1200"," 4200"," 2219","   9.462","   9.548","   2.652","   8.030","   8.103","   2.251"," 69","0"," 67"," 81","   0.766","   0.773","   0.215","  45.000","    0","    0"
"03:23:46:813","257779530172402","   2.025","  14.744"," 1829"," 1200"," 4000"," 1867","   6.718","  16.370","   4.547","   5.470","  13.658","   3.794"," 69","0"," 67"," 81","   0.620","   1.403","   0.390","  45.000","    0","    0"
"03:23:47:814","257781835560012","   3.025","  12.641"," 1416"," 1200"," 3600"," 1423","   4.173","  20.545","   5.707","   2.950","  16.609","   4.614"," 69","0"," 66"," 71","   0.613","   2.016","   0.560","  45.000","    0","    0"
"03:23:48:815","257784141719292","   4.026","   9.269"," 1986"," 1200"," 4400"," 2079","   6.874","  27.426","   7.618","   5.216","  21.831","   6.064"," 68","0"," 66"," 84","   0.860","   2.877","   0.799","  45.000","    0","    0"
"03:23:49:824","257786467100150","   5.036","   3.894"," 1644"," 1200"," 3100"," 1659","   2.549","  29.998","   8.333","   1.467","  23.311","   6.475"," 67","0"," 65"," 70","   0.711","   3.594","   0.998","  45.000","    0","    0"
"03:23:50:830","257788785834812","   6.042","   2.576"," 1665"," 1200"," 3400"," 1684","   1.927","  31.937","   8.872","   1.060","  24.377","   6.771"," 67","0"," 64"," 70","   0.686","   4.285","   1.190","  45.000","  350","  333"
"03:23:51:839","257791110285628","   7.051","   1.426"," 1578"," 1200"," 2700"," 1591","   1.562","  33.513","   9.309","   0.660","  25.043","   6.956"," 66","0"," 64"," 68","   0.735","   5.026","   1.396","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.050842"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 33.513000"
"Cumulative Package Energy_0 (mWh) = 9.309167"
"Average Package Power_0 (Watt) = 4.753049"

"Cumulative IA Energy_0 (Joules) = 25.042725"
"Cumulative IA Energy_0 (mWh) = 6.956312"
"Average Package IA_0 (Watt) = 3.551735"

"Cumulative DRAM Energy_0 (Joules) = 5.026489"
"Cumulative DRAM Energy_0 (mWh) = 1.396247"
"Average Package DRAM_0 (Watt) = 0.712892"
