InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,C-State,Resident,Count,Latency
2-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.011%,2019,70
2-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,7,C1E,0.071%,3964,10
2-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,8,C1,0.055%,4454,2
2-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,9,POLL,0.000%,24,0
2-api-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,10,C0,0.634%
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,1,C10,96.858%,23005,890
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,2,C9,0.021%,137,480
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,3,C8,2.277%,8747,200
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,4,C7s,0.001%,5,124
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,5,C6,0.182%,2841,85
14-frontend-monitor.csv,micro,09-12-23T06-28-39,3,5,300,50,30,09-12-23T06-28-39,10-12-23T04-22-06,11-12-23T03-19-36,6,C3,0.012%,539,70
