#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh),Cumulative Package Energy_0 (Joules),Cumulative IA Energy_0 (Joules),Cumulative DRAM Energy_0 (Joules), Package Temperature_0 (C)
18,02-10-23T23-49-02,micro,frontend-monitor,11.053879,4.208340,2.139316,2.160950,15.150024,7.701538,7.779419,37.72727272727273
19,02-10-23T23-49-02,micro,api-baseline,62.291286,22.406684,10.978919,12.068024,80.664062,39.524109,43.444885,36.04838709677419
19,02-10-23T23-49-02,micro,api-monitor,62.318654,22.969801,11.324955,12.091878,82.691284,40.769836,43.530762,37.88709677419355
19,02-10-23T23-49-02,micro,frontend-baseline,11.054996,3.791216,1.735942,2.154829,13.648376,6.249390,7.757385,35.81818181818182
19,02-10-23T23-49-02,micro,frontend-monitor,11.053803,3.732605,1.740146,2.119666,13.437378,6.264526,7.630798,37.18181818181818
2,02-10-23T23-49-02,micro,api-baseline,62.346438,209.838782,54.483422,16.331363,755.419617,196.140320,58.792908,69.62903225806451
2,02-10-23T23-49-02,micro,api-monitor,62.354776,158.785960,42.628496,16.493734,571.629456,153.462585,59.377441,68.2258064516129
2,02-10-23T23-49-02,micro,frontend-baseline,11.074463,35.704295,8.309750,2.846018,128.535461,29.915100,10.245667,69.45454545454545
2,02-10-23T23-49-02,micro,frontend-monitor,11.056988,27.480282,10.665453,2.927212,98.929016,38.395630,10.537964,67.54545454545455
20,02-10-23T23-49-02,micro,api-baseline,62.354158,21.490309,10.119188,12.068278,77.365112,36.429077,43.445801,35.983870967741936
20,02-10-23T23-49-02,micro,api-monitor,62.283400,21.965671,10.415259,12.098829,79.076416,37.494934,43.555786,38.11290322580645
20,02-10-23T23-49-02,micro,frontend-baseline,11.074967,4.279870,2.141622,2.193637,15.407532,7.709839,7.897095,35.27272727272727
20,02-10-23T23-49-02,micro,frontend-monitor,11.058700,4.781002,2.718641,2.144097,17.211609,9.787109,7.718750,38.27272727272727
21,02-10-23T23-49-02,micro,api-baseline,62.271601,21.220347,10.049862,11.953142,76.393250,36.179504,43.031311,37.354838709677416
21,02-10-23T23-49-02,micro,api-monitor,62.187089,150.713416,130.148400,11.616872,542.568298,468.534241,41.820740,48.354838709677416
21,02-10-23T23-49-02,micro,frontend-baseline,11.043259,3.884074,1.829308,2.147708,13.982666,6.585510,7.731750,37.0
21,02-10-23T23-49-02,micro,frontend-monitor,11.048342,11.029392,8.363715,2.150269,39.705811,30.109375,7.740967,39.90909090909091
22,02-10-23T23-49-02,micro,api-baseline,62.304831,22.366045,10.971358,12.024434,80.517761,39.496887,43.287964,37.16129032258065
22,02-10-23T23-49-02,micro,api-monitor,62.314232,22.926178,11.061995,12.084774,82.534241,39.823181,43.505188,38.53225806451613
22,02-10-23T23-49-02,micro,frontend-baseline,11.061901,3.904555,1.802317,2.189263,14.056396,6.488342,7.881348,35.90909090909091
22,02-10-23T23-49-02,micro,frontend-monitor,11.074111,3.651106,1.633165,2.146200,13.143982,5.879395,7.726318,37.72727272727273
23,02-10-23T23-49-02,micro,api-baseline,62.264982,21.648780,10.460731,11.995799,77.935608,37.658630,43.184875,36.193548387096776
23,02-10-23T23-49-02,micro,api-monitor,62.322606,23.966793,12.290649,12.130568,86.280457,44.246338,43.670044,38.645161290322584
23,02-10-23T23-49-02,micro,frontend-baseline,11.049891,4.822540,2.625580,2.147556,17.361145,9.452087,7.731201,36.36363636363637
23,02-10-23T23-49-02,micro,frontend-monitor,11.060122,3.509742,1.619110,2.097032,12.635071,5.828796,7.549316,36.90909090909091
24,02-10-23T23-49-02,micro,api-baseline,62.324018,23.252547,11.661784,12.034471,83.709167,41.982422,43.324097,36.225806451612904
24,02-10-23T23-49-02,micro,api-monitor,62.309021,20.908847,9.456974,12.072211,75.271851,34.045105,43.459961,37.87096774193548
24,02-10-23T23-49-02,micro,frontend-baseline,11.052536,3.706173,1.690250,2.150930,13.342224,6.084900,7.743347,35.63636363636363
24,02-10-23T23-49-02,micro,frontend-monitor,11.062271,5.367143,3.157298,2.167918,19.321716,11.366272,7.804504,38.63636363636363
25,02-10-23T23-49-02,micro,api-baseline,62.286679,22.142622,10.558234,12.138774,79.713440,38.009644,43.699585,36.935483870967744
25,02-10-23T23-49-02,micro,api-monitor,62.287862,21.230062,9.622684,12.121446,76.428223,34.641663,43.637207,37.854838709677416
25,02-10-23T23-49-02,micro,frontend-baseline,11.063788,3.784315,1.700541,2.169359,13.623535,6.121948,7.809692,36.0
25,02-10-23T23-49-02,micro,frontend-monitor,11.062929,3.716753,1.674567,2.152947,13.380310,6.028442,7.750610,37.09090909090909
26,02-10-23T23-49-02,micro,api-baseline,62.328519,21.639438,10.545570,11.945580,77.901978,37.964050,43.004089,36.0
26,02-10-23T23-49-02,micro,api-monitor,62.255783,21.741672,9.875454,12.195062,78.270020,35.551636,43.902222,39.12903225806452
26,02-10-23T23-49-02,micro,frontend-baseline,11.086637,3.897739,1.797011,2.178514,14.031860,6.469238,7.842651,35.72727272727273
26,02-10-23T23-49-02,micro,frontend-monitor,11.064422,5.122274,3.061405,2.174683,18.440186,11.021057,7.828857,37.0
27,02-10-23T23-49-02,micro,api-baseline,62.355940,22.691583,11.304321,12.076874,81.689697,40.695557,43.476746,36.354838709677416
27,02-10-23T23-49-02,micro,api-monitor,62.322226,22.497932,10.820652,12.135095,80.992554,38.954346,43.686340,38.17741935483871
27,02-10-23T23-49-02,micro,frontend-baseline,11.066842,3.599972,1.668888,2.119191,12.959900,6.007996,7.629089,35.63636363636363
27,02-10-23T23-49-02,micro,frontend-monitor,11.048837,6.088342,3.587358,2.144911,21.918030,12.914490,7.721680,37.81818181818182
28,02-10-23T23-49-02,micro,api-baseline,62.286088,21.245999,10.125173,11.977200,76.485596,36.450623,43.117920,35.95161290322581
28,02-10-23T23-49-02,micro,api-monitor,62.349211,21.988407,10.379520,12.131517,79.158264,37.366272,43.673462,37.935483870967744
28,02-10-23T23-49-02,micro,frontend-baseline,11.065054,4.454905,2.320709,2.187873,16.037659,8.354553,7.876343,35.45454545454545
28,02-10-23T23-49-02,micro,frontend-monitor,11.073164,3.735843,1.742215,2.137078,13.449036,6.271973,7.693481,36.36363636363637
29,02-10-23T23-49-02,micro,api-baseline,62.340213,22.377913,11.015947,12.051002,80.560486,39.657410,43.383606,35.983870967741936
29,02-10-23T23-49-02,micro,api-monitor,62.303820,23.907064,12.247145,12.148217,86.065430,44.089722,43.733582,37.306451612903224
29,02-10-23T23-49-02,micro,frontend-baseline,11.057500,3.561910,1.642270,2.106544,12.822876,5.912170,7.583557,35.27272727272727
29,02-10-23T23-49-02,micro,frontend-monitor,11.058417,4.915263,2.786713,2.182566,17.694946,10.032166,7.857239,37.27272727272727
3,02-10-23T23-49-02,micro,api-baseline,62.360421,199.126350,49.142897,16.123623,716.854858,176.914429,58.045044,69.0
3,02-10-23T23-49-02,micro,api-monitor,62.149049,23.310547,10.691291,12.169545,83.917969,38.488647,43.810364,48.983870967741936
3,02-10-23T23-49-02,micro,frontend-baseline,11.048798,54.541914,20.749088,3.308987,196.350891,74.696716,11.912354,71.54545454545455
3,02-10-23T23-49-02,micro,frontend-monitor,11.063163,36.007640,8.582119,2.864838,129.627502,30.895630,10.313416,72.72727272727273
30,02-10-23T23-49-02,micro,api-baseline,62.305463,21.927389,10.630849,12.041456,78.938599,38.271057,43.349243,35.82258064516129
30,02-10-23T23-49-02,micro,api-monitor,62.271340,23.334062,11.299133,12.136078,84.002625,40.676880,43.689880,39.435483870967744
30,02-10-23T23-49-02,micro,frontend-baseline,11.052343,3.792843,1.768019,2.141486,13.654236,6.364868,7.709351,36.0
30,02-10-23T23-49-02,micro,frontend-monitor,11.058489,4.045122,2.002224,2.140995,14.562439,7.208008,7.707581,37.54545454545455
4,02-10-23T23-49-02,micro,api-baseline,62.345706,243.013204,55.806478,16.909824,874.847534,200.903320,60.875366,72.85483870967742
4,02-10-23T23-49-02,micro,api-monitor,62.268969,62.999488,29.059923,13.519406,226.798157,104.615723,48.669861,57.854838709677416
4,02-10-23T23-49-02,micro,frontend-baseline,11.055435,34.716068,9.100901,2.856377,124.977844,32.763245,10.282959,68.72727272727273
4,02-10-23T23-49-02,micro,frontend-monitor,11.036327,4.058448,1.829393,2.155270,14.610413,6.585815,7.758972,47.63636363636363
5,02-10-23T23-49-02,micro,api-baseline,62.309940,21.482510,10.125156,11.986169,77.337036,36.450562,43.150208,41.53225806451613
5,02-10-23T23-49-02,micro,api-monitor,62.309318,29.093984,16.107296,12.011583,104.738342,57.986267,43.241699,41.66129032258065
5,02-10-23T23-49-02,micro,frontend-baseline,11.058026,4.218614,1.970588,2.157949,15.187012,7.094116,7.768616,38.54545454545455
5,02-10-23T23-49-02,micro,frontend-monitor,11.079201,3.726874,1.736637,2.134230,13.416748,6.251892,7.683228,39.09090909090909
6,02-10-23T23-49-02,micro,api-baseline,62.294075,23.864390,12.352210,12.058105,85.911804,44.467957,43.409180,37.193548387096776
6,02-10-23T23-49-02,micro,api-monitor,62.308468,21.530660,10.195075,12.045339,77.510376,36.702271,43.363220,39.225806451612904
6,02-10-23T23-49-02,micro,frontend-baseline,11.052488,3.673553,1.651560,2.146030,13.224792,5.945618,7.725708,36.18181818181818
6,02-10-23T23-49-02,micro,frontend-monitor,11.051959,9.258931,6.231689,2.078976,33.332153,22.434082,7.484314,41.09090909090909
7,02-10-23T23-49-02,micro,api-baseline,62.256634,59.171176,45.231222,11.900482,213.016235,162.832397,42.841736,46.33870967741935
7,02-10-23T23-49-02,micro,api-monitor,62.178986,175.115000,153.182916,11.583947,630.414001,551.458496,41.702209,48.33870967741935
7,02-10-23T23-49-02,micro,frontend-baseline,11.058249,3.736928,1.706865,2.141656,13.452942,6.144714,7.709961,37.54545454545455
7,02-10-23T23-49-02,micro,frontend-monitor,11.058901,27.325372,23.774940,2.009667,98.371338,85.589783,7.234802,42.09090909090909
8,02-10-23T23-49-02,micro,api-baseline,62.260289,66.823086,52.046984,11.852620,240.563110,187.369141,42.669434,47.37096774193548
8,02-10-23T23-49-02,micro,api-monitor,62.328003,22.325626,10.792101,12.079620,80.372253,38.851562,43.486633,39.693548387096776
8,02-10-23T23-49-02,micro,frontend-baseline,11.079427,3.763784,1.738332,2.148302,13.549622,6.257996,7.733887,37.0
8,02-10-23T23-49-02,micro,frontend-monitor,11.058710,3.580000,1.653527,2.113647,12.888000,5.952698,7.609131,38.27272727272727
9,02-10-23T23-49-02,micro,api-baseline,62.282182,22.064531,10.709805,12.046492,79.432312,38.555298,43.367371,36.806451612903224
9,02-10-23T23-49-02,micro,api-monitor,62.335335,21.333211,9.924469,12.026401,76.799561,35.728088,43.295044,38.61290322580645
9,02-10-23T23-49-02,micro,frontend-baseline,11.068191,3.652056,1.645830,2.139214,13.147400,5.924988,7.701172,36.09090909090909
9,02-10-23T23-49-02,micro,frontend-monitor,11.045870,8.686049,5.933617,2.113224,31.269775,21.361023,7.607605,40.0
1,02-10-23T23-49-02,mono,api-baseline,62.300250,312.506934,283.758053,17.906477,1125.024963,1021.528992,64.463318,66.85483870967742
1,02-10-23T23-49-02,mono,api-monitor,62.211003,170.380792,144.168260,16.186456,613.370850,519.005737,58.271240,67.09677419354838
1,02-10-23T23-49-02,mono,frontend-baseline,6.021986,32.175412,29.820862,1.781633,115.831482,107.355103,6.413879,63.5
1,02-10-23T23-49-02,mono,frontend-monitor,6.022739,13.484175,11.187778,1.313239,48.543030,40.276001,4.727661,63.166666666666664
10,02-10-23T23-49-02,mono,api-baseline,62.355215,231.529812,50.941993,16.487427,833.507324,183.391174,59.354736,71.93548387096774
10,02-10-23T23-49-02,mono,api-monitor,62.355328,173.215129,41.795875,15.784081,623.574463,150.465149,56.822693,68.2741935483871
10,02-10-23T23-49-02,mono,frontend-baseline,6.045370,22.860921,5.395287,1.610497,82.299316,19.423035,5.797791,73.16666666666667
10,02-10-23T23-49-02,mono,frontend-monitor,6.044909,22.860175,5.669505,1.610616,82.296631,20.410217,5.798218,76.0
11,02-10-23T23-49-02,mono,api-baseline,62.331433,222.871009,52.409092,16.603326,802.335632,188.672729,59.771973,71.43548387096774
11,02-10-23T23-49-02,mono,api-monitor,62.266016,198.528324,44.738905,15.718587,714.701965,161.060059,56.586914,70.87096774193549
11,02-10-23T23-49-02,mono,frontend-baseline,6.038722,22.486030,4.992778,1.599698,80.949707,17.973999,5.758911,73.0
11,02-10-23T23-49-02,mono,frontend-monitor,6.047524,15.928090,4.064162,1.569892,57.341125,14.630981,5.651611,68.83333333333333
12,02-10-23T23-49-02,mono,api-baseline,62.329661,237.893219,55.039842,16.931474,856.415588,198.143433,60.953308,66.43548387096774
12,02-10-23T23-49-02,mono,api-monitor,62.345280,168.204787,45.709924,16.639489,605.537231,164.555725,59.902161,68.7741935483871
12,02-10-23T23-49-02,mono,frontend-baseline,6.041700,22.618510,4.890815,1.592204,81.426636,17.606934,5.731934,70.33333333333333
12,02-10-23T23-49-02,mono,frontend-monitor,6.029077,22.580685,5.067986,1.602648,81.290466,18.244751,5.769531,74.66666666666667
13,02-10-23T23-49-02,mono,api-baseline,62.359089,224.696231,51.140713,16.638268,808.906433,184.106567,59.897766,71.64516129032258
13,02-10-23T23-49-02,mono,api-monitor,62.334737,202.194299,45.650279,15.787523,727.899475,164.341003,56.835083,71.20967741935483
13,02-10-23T23-49-02,mono,frontend-baseline,6.039019,10.850440,3.509403,1.684367,39.061584,12.633850,6.063721,63.333333333333336
13,02-10-23T23-49-02,mono,frontend-monitor,6.023098,21.659173,5.338966,1.617771,77.973022,19.220276,5.823975,72.66666666666667
14,02-10-23T23-49-02,mono,api-baseline,62.298771,174.712270,48.422919,15.637953,628.964172,174.322510,56.296631,66.43548387096774
14,02-10-23T23-49-02,mono,api-monitor,62.343547,201.989577,45.571187,15.762973,727.162476,164.056274,56.746704,71.29032258064517
14,02-10-23T23-49-02,mono,frontend-baseline,6.054566,23.491397,5.244887,1.654426,84.569031,18.881592,5.955933,71.66666666666667
14,02-10-23T23-49-02,mono,frontend-monitor,6.052108,23.333622,5.248159,1.609243,84.001038,18.893372,5.793274,73.83333333333333
15,02-10-23T23-49-02,mono,api-baseline,62.320675,184.930030,51.638353,17.577650,665.748108,185.898071,63.279541,68.51612903225806
15,02-10-23T23-49-02,mono,api-monitor,62.325702,200.588006,51.797858,16.015540,722.116821,186.472290,57.655945,70.90322580645162
15,02-10-23T23-49-02,mono,frontend-baseline,6.047791,22.959273,5.112644,1.621195,82.653381,18.405518,5.836304,71.0
15,02-10-23T23-49-02,mono,frontend-monitor,6.046603,21.625604,5.004137,1.592441,77.852173,18.014893,5.732788,72.33333333333333
16,02-10-23T23-49-02,mono,api-baseline,62.343697,235.420753,51.764933,16.657783,847.514709,186.353760,59.968018,68.30645161290323
16,02-10-23T23-49-02,mono,api-monitor,62.382744,199.888323,45.695089,15.737305,719.597961,164.502319,56.654297,71.74193548387096
16,02-10-23T23-49-02,mono,frontend-baseline,6.038658,23.640934,5.264130,1.632080,85.107361,18.950867,5.875488,71.0
16,02-10-23T23-49-02,mono,frontend-monitor,6.045790,24.411469,6.140781,1.791653,87.881287,22.106812,6.449951,73.66666666666667
17,02-10-23T23-49-02,mono,api-baseline,62.377846,237.173564,53.194190,16.628537,853.824829,191.499084,59.862732,72.48387096774194
17,02-10-23T23-49-02,mono,api-monitor,62.338923,188.218418,47.674221,16.507280,677.586304,171.627197,59.426208,69.88709677419355
17,02-10-23T23-49-02,mono,frontend-baseline,6.031744,20.962897,5.544807,1.793959,75.466431,19.961304,6.458252,68.83333333333333
17,02-10-23T23-49-02,mono,frontend-monitor,6.035688,23.738302,5.271912,1.617466,85.457886,18.978882,5.822876,74.83333333333333
18,02-10-23T23-49-02,mono,api-baseline,62.319875,243.353238,55.408495,16.753235,876.071655,199.470581,60.311646,72.58064516129032
18,02-10-23T23-49-02,mono,api-monitor,62.322205,187.123667,44.063805,16.022610,673.645203,158.629700,57.681396,70.03225806451613
18,02-10-23T23-49-02,mono,frontend-baseline,6.043432,23.210297,5.194177,1.629690,83.557068,18.699036,5.866882,72.83333333333333
18,02-10-23T23-49-02,mono,frontend-monitor,6.031218,23.445180,5.331217,1.648153,84.402649,19.192383,5.933350,73.33333333333333
19,02-10-23T23-49-02,mono,api-baseline,62.274922,145.514781,43.935259,16.913147,523.853210,158.166931,60.887329,64.46774193548387
19,02-10-23T23-49-02,mono,api-monitor,62.357682,225.687069,53.176609,16.505958,812.473450,191.435791,59.421448,73.04838709677419
19,02-10-23T23-49-02,mono,frontend-baseline,6.037665,23.923492,5.589430,1.632758,86.124573,20.121948,5.877930,71.83333333333333
19,02-10-23T23-49-02,mono,frontend-monitor,6.055255,23.539293,5.315128,1.638268,84.741455,19.134460,5.897766,74.66666666666667
2,02-10-23T23-49-02,mono,api-baseline,62.255282,197.905986,161.066606,17.283088,712.461548,579.839783,62.219116,68.19354838709677
2,02-10-23T23-49-02,mono,api-monitor,62.289695,278.956299,166.891683,17.596995,1004.242676,600.810059,63.349182,72.51612903225806
2,02-10-23T23-49-02,mono,frontend-baseline,6.032388,31.133135,18.517846,1.684231,112.079285,66.664246,6.063232,74.33333333333333
2,02-10-23T23-49-02,mono,frontend-monitor,6.045755,31.345927,12.024960,1.762221,112.845337,43.289856,6.343994,75.16666666666667
20,02-10-23T23-49-02,mono,api-baseline,62.349097,230.580631,51.682163,16.487834,830.090271,186.055786,59.356201,71.74193548387096
20,02-10-23T23-49-02,mono,api-monitor,62.292601,182.387611,52.269016,15.921834,656.595398,188.168457,57.318604,69.16129032258064
20,02-10-23T23-49-02,mono,frontend-baseline,6.035331,7.132890,3.176676,1.587118,25.678406,11.436035,5.713623,59.666666666666664
20,02-10-23T23-49-02,mono,frontend-monitor,6.027735,2.359806,1.107195,1.184455,8.495300,3.985901,4.264038,58.666666666666664
21,02-10-23T23-49-02,mono,api-baseline,62.307817,218.253886,56.730109,17.227970,785.713989,204.228394,62.020691,66.03225806451613
21,02-10-23T23-49-02,mono,api-monitor,62.277707,82.578091,34.556325,16.600986,297.281128,124.402771,59.763550,58.83870967741935
21,02-10-23T23-49-02,mono,frontend-baseline,6.039528,7.654470,3.065118,1.625790,27.556091,11.034424,5.852844,59.833333333333336
21,02-10-23T23-49-02,mono,frontend-monitor,6.038836,23.671705,5.440487,1.656019,85.218140,19.585754,5.961670,71.33333333333333
22,02-10-23T23-49-02,mono,api-baseline,62.292549,237.961358,52.590315,16.678992,856.660889,189.325134,60.044373,70.8225806451613
22,02-10-23T23-49-02,mono,api-monitor,62.313851,243.837619,57.208744,17.014025,877.815430,205.951477,61.250488,73.16129032258064
