"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"02:57:25:785","254136861055828","   1.006","   5.287"," 3470"," 1200"," 4600"," 3797","  10.601","  10.666","   2.963","   9.088","   9.144","   2.540"," 65","0"," 59"," 67","   0.675","   0.680","   0.189","  45.000","    0","    0"
"02:57:26:798","254139193839918","   2.019","   5.394"," 3578"," 1200"," 4500"," 3956","  11.513","  22.323","   6.201","  10.022","  19.290","   5.358"," 65","0"," 59"," 85","   0.673","   1.361","   0.378","  45.000","    0","    0"
"02:57:27:803","254141508642656","   3.023","   5.181"," 3676"," 1200"," 4400"," 4028","  11.445","  33.822","   9.395","  10.017","  29.354","   8.154"," 65","0"," 59"," 77","   0.640","   2.004","   0.557","  45.000","    0","    0"
"02:57:28:806","254143821301520","   4.027","   2.114"," 1912"," 1200"," 4200"," 1967","   2.245","  36.075","  10.021","   1.304","  30.664","   8.518"," 60","0"," 58"," 66","   0.718","   2.725","   0.757","  45.000","  350","  333"
"02:57:29:813","254146140352786","   5.034","   5.554"," 3440"," 1200"," 4400"," 3782","  10.951","  47.097","  13.083","   9.521","  40.246","  11.180"," 66","0"," 58"," 73","   0.658","   3.387","   0.941","  45.000","    0","    0"
"02:57:30:813","254148444730088","   6.034","   4.914"," 3439"," 1200"," 4400"," 3741","   9.707","  56.806","  15.779","   8.299","  48.546","  13.485"," 64","0"," 59"," 67","   0.625","   4.012","   1.115","  45.000","    0","    0"
"02:57:31:813","254150749551198","   7.034","   5.072"," 3440"," 1200"," 4400"," 3785","   9.981","  66.791","  18.553","   8.516","  57.065","  15.852"," 64","0"," 59"," 67","   0.644","   4.657","   1.294","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.034240"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 66.790771"
"Cumulative Package Energy_0 (mWh) = 18.552992"
"Average Package Power_0 (Watt) = 9.495095"

"Cumulative IA Energy_0 (Joules) = 57.065491"
"Cumulative IA Energy_0 (mWh) = 15.851525"
"Average Package IA_0 (Watt) = 8.112532"

"Cumulative DRAM Energy_0 (Joules) = 4.656921"
"Cumulative DRAM Energy_0 (mWh) = 1.293589"
"Average Package DRAM_0 (Watt) = 0.662036"
