InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
5-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,2,0
5-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,10,C0,0.497%
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,1,C10,98.085%,26174,890
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,2,C9,0.039%,125,480
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,3,C8,1.171%,7370,200
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,4,C7s,0.001%,14,124
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,5,C6,0.149%,3249,85
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,6,C3,0.007%,595,70
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,7,C1E,0.011%,692,10
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,8,C1,0.043%,1720,2
4-api-monitor.csv,mono,19-02-24T13-25-38,1,5,300,50,30,19-02-24T13-25-38,,,,161.381498890,,161.381498890,9,POLL,0.000%,4,0
