Iteration,Architecture,ScenarioPath,Joules
10,micro,1,676.5114674417455
10,micro,2,253.61456045753357
10,micro,3,293.98357078084484
10,mono,1,676.5114674417455
10,mono,2,253.6145604575336
10,mono,3,293.9835707808448
20,micro,1,716.8212253536145
20,micro,2,268.7261173593367
20,micro,3,311.50050454850947
20,mono,1,716.8212253536145
20,mono,2,268.7261173593367
20,mono,3,311.50050454850947
30,micro,2,245.66244088735175
30,micro,3,284.76567531655917
30,mono,1,655.2993569462333
30,mono,2,245.66244088735175
30,mono,3,284.76567531655917
Min,micro,1,659.0348674759101
Min,micro,2,244.05190268243274
Min,micro,3,282.898780247495
Min,mono,1,651.0032804023032
Min,mono,2,244.05190268243274
Min,mono,3,282.898780247495
Max,micro,1,801.3202164437188
Max,micro,2,300.4035914536944
Max,micro,3,348.22022967303104
Max,mono,1,801.3202164437187
Max,mono,2,300.4035914536944
Max,mono,3,348.22022967303104
Average,micro,1,692.5928025616593
Average,micro,2,258.595130786204
Average,micro,3,299.756921676417
Average,mono,1,689.7970332849171
Average,mono,2,258.595130786204
Average,mono,3,299.756921676417
