"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:34:46:023","234415518623830","   1.001","  14.030"," 1520"," 1200"," 3600"," 1539","   5.247","   5.252","   1.459","   3.725","   3.728","   1.036"," 68","0"," 63"," 69","   0.900","   0.901","   0.250","  45.000","    0","    0"
"00:34:47:028","234417833900992","   2.006","   4.684"," 2528"," 1200"," 4400"," 2708","   7.932","  13.223","   3.673","   5.774","   9.531","   2.647"," 87","0"," 63"," 87","   0.788","   1.692","   0.470","  45.000","    0","    0"
"00:34:48:032","234420146910354","   3.010","   6.550"," 1929"," 1200"," 4500"," 2007","   7.230","  20.481","   5.689","   4.956","  14.506","   4.029"," 65","0"," 63"," 88","   0.919","   2.615","   0.726","  45.000","    0","    0"
"00:34:49:040","234422470219936","   4.018","   7.686"," 1994"," 1200"," 4400"," 2097","   7.257","  27.799","   7.722","   4.975","  19.523","   5.423"," 66","0"," 63"," 85","   0.955","   3.578","   0.994","  45.000","  500","  500"
"00:34:50:042","234424778680968","   5.020","   6.390"," 1607"," 1200"," 3600"," 1624","   4.884","  32.693","   9.081","   2.188","  21.715","   6.032"," 64","0"," 62"," 67","   0.981","   4.560","   1.267","  45.000","    0","    0"
"00:34:51:051","234427102974940","   6.029","   5.614"," 1670"," 1200"," 3800"," 1725","   5.985","  38.731","  10.758","   2.359","  24.095","   6.693"," 70","0"," 62"," 73","   0.991","   5.559","   1.544","  45.000","    0","    0"
"00:34:52:057","234429420739186","   7.035","  12.343"," 1947"," 1200"," 4400"," 2058","  10.817","  49.612","  13.781","   8.581","  32.727","   9.091"," 65","0"," 62"," 86","   0.962","   6.527","   1.813","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.034959"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 49.612366"
"Cumulative Package Energy_0 (mWh) = 13.781213"
"Average Package Power_0 (Watt) = 7.052261"

"Cumulative IA Energy_0 (Joules) = 32.726929"
"Cumulative IA Energy_0 (mWh) = 9.090814"
"Average Package IA_0 (Watt) = 4.652042"

"Cumulative DRAM Energy_0 (Joules) = 6.527100"
"Cumulative DRAM Energy_0 (mWh) = 1.813083"
"Average Package DRAM_0 (Watt) = 0.927809"
