"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"22:24:28:773","216405076564792","   1.000","   5.102"," 3648"," 1200"," 4600"," 3959","  10.886","  10.888","   3.024","   9.421","   9.423","   2.617"," 58","0"," 53"," 63","   0.666","   0.666","   0.185","  45.000","    0","    0"
"22:24:29:782","216407403030418","   2.010","   5.399"," 3553"," 1200"," 4600"," 3838","  10.868","  21.862","   6.073","   9.481","  18.996","   5.277"," 58","0"," 53"," 78","   0.637","   1.309","   0.364","  45.000","  550","  533"
"22:24:30:786","216409716144492","   3.014","   5.000"," 3541"," 1200"," 4600"," 3844","  10.380","  32.283","   8.968","   8.939","  27.970","   7.770"," 62","0"," 53"," 64","   0.647","   1.959","   0.544","  45.000","    0","    0"
"22:24:31:786","216412020614368","   4.014","   4.896"," 3563"," 1200"," 4600"," 3850","  10.373","  42.658","  11.850","   8.989","  36.961","  10.267"," 58","0"," 53"," 62","   0.619","   2.578","   0.716","  45.000","  450","  433"
"22:24:32:788","216414327585638","   5.015","   6.024"," 3660"," 1200"," 4600"," 4110","  12.215","  54.890","  15.247","  10.842","  47.818","  13.283"," 60","0"," 53"," 69","   0.658","   3.236","   0.899","  45.000","  400","  400"
"22:24:33:788","216416633030232","   6.016","   5.027"," 3517"," 1200"," 4600"," 3825","  10.080","  64.976","  18.049","   8.647","  56.470","  15.686"," 57","0"," 53"," 64","   0.650","   3.887","   1.080","  45.000","    0","    0"
"22:24:34:788","216418937332310","   7.016","   5.078"," 3484"," 1200"," 4600"," 3788","  10.521","  75.498","  20.972","   9.106","  65.577","  18.216"," 58","0"," 53"," 62","   0.650","   4.537","   1.260","  45.000","  350","  333"

"Total Elapsed Time (sec) = 7.016020"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 75.498291"
"Cumulative Package Energy_0 (mWh) = 20.971748"
"Average Package Power_0 (Watt) = 10.760844"

"Cumulative IA Energy_0 (Joules) = 65.577271"
"Cumulative IA Energy_0 (mWh) = 18.215908"
"Average Package IA_0 (Watt) = 9.346791"

"Cumulative DRAM Energy_0 (Joules) = 4.536804"
"Cumulative DRAM Energy_0 (mWh) = 1.260223"
"Average Package DRAM_0 (Watt) = 0.646635"
