"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:48:03:976","211371132342124","   1.000","   1.807"," 1727"," 1200"," 3400"," 1754","   1.645","   1.646","   0.457","   0.784","   0.785","   0.218"," 52","0"," 50"," 54","   0.733","   0.733","   0.204","  45.000","    0","    0"
"21:48:04:985","211373456556300","   2.009","   1.663"," 1958"," 1200"," 3700"," 2189","   1.678","   3.338","   0.927","   0.968","   1.761","   0.489"," 53","0"," 49"," 62","   0.684","   1.423","   0.395","  45.000","    0","    0"
"21:48:05:993","211375778411936","   3.017","   2.532"," 2249"," 1200"," 3700"," 2653","   2.568","   5.926","   1.646","   1.782","   3.557","   0.988"," 53","0"," 49"," 59","   0.703","   2.132","   0.592","  45.000","    0","    0"
"21:48:07:000","211378099909832","   4.025","   1.496"," 1521"," 1200"," 2600"," 1539","   1.238","   7.174","   1.993","   0.536","   4.097","   1.138"," 52","0"," 49"," 53","   0.673","   2.810","   0.781","  45.000","    0","    0"
"21:48:08:006","211380417232868","   5.030","   1.219"," 1694"," 1200"," 2900"," 1759","   1.335","   8.516","   2.366","   0.547","   4.647","   1.291"," 52","0"," 48"," 53","   0.719","   3.533","   0.981","  45.000","    0","    0"
"21:48:09:007","211382722352242","   6.031","   4.231"," 2337"," 1200"," 3600"," 2558","   3.907","  12.424","   3.451","   3.009","   7.658","   2.127"," 62","0"," 49"," 62","   0.712","   4.245","   1.179","  45.000","    0","    0"
"21:48:10:007","211385026662072","   7.031","   7.655"," 3536"," 1200"," 3700"," 3585","  12.496","  24.922","   6.923","  11.195","  18.854","   5.237"," 59","0"," 50"," 67","   0.773","   5.018","   1.394","  45.000","    0","    0"

"Total Elapsed Time (sec) = 7.030921"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 24.922363"
"Cumulative Package Energy_0 (mWh) = 6.922879"
"Average Package Power_0 (Watt) = 3.544680"

"Cumulative IA Energy_0 (Joules) = 18.854004"
"Cumulative IA Energy_0 (mWh) = 5.237223"
"Average Package IA_0 (Watt) = 2.681584"

"Cumulative DRAM Energy_0 (Joules) = 5.018494"
"Cumulative DRAM Energy_0 (mWh) = 1.394026"
"Average Package DRAM_0 (Watt) = 0.713775"
