"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"07:41:15:647","65619789142464","   1.001","   1.442"," 1601"," 1200"," 2900"," 1647","   1.621","   1.622","   0.451","   0.688","   0.689","   0.191"," 59","0"," 56"," 59","   0.780","   0.780","   0.217","  45.000","    0","    0"
"07:41:16:662","65622126440054","   2.015","   1.856"," 1969"," 1200"," 3600"," 2204","   2.013","   3.664","   1.018","   1.145","   1.851","   0.514"," 59","0"," 56"," 67","   0.738","   1.529","   0.425","  45.000","    0","    0"
"07:41:17:665","65624438137750","   3.018","   1.021"," 1380"," 1200"," 2500"," 1393","   1.018","   4.685","   1.301","   0.427","   2.279","   0.633"," 59","0"," 56"," 59","   0.658","   2.189","   0.608","  45.000","    0","    0"
"07:41:18:669","65626751190710","   4.022","   1.135"," 1409"," 1200"," 2500"," 1427","   1.053","   5.743","   1.595","   0.449","   2.729","   0.758"," 59","0"," 55"," 59","   0.659","   2.850","   0.792","  45.000","    0","    0"
"07:41:19:672","65629062900576","   5.026","   1.280"," 1486"," 1200"," 2500"," 1498","   1.230","   6.977","   1.938","   0.528","   3.259","   0.905"," 58","0"," 55"," 59","   0.705","   3.558","   0.988","  45.000","    0","    0"
"07:41:20:674","65631371498784","   6.028","   1.615"," 1649"," 1200"," 2800"," 1697","   1.515","   8.495","   2.360","   0.725","   3.986","   1.107"," 58","0"," 55"," 58","   0.705","   4.264","   1.184","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.027735"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 8.495300"
"Cumulative Package Energy_0 (mWh) = 2.359806"
"Average Package Power_0 (Watt) = 1.409368"

"Cumulative IA Energy_0 (Joules) = 3.985901"
"Cumulative IA Energy_0 (mWh) = 1.107195"
"Average Package IA_0 (Watt) = 0.661260"

"Cumulative DRAM Energy_0 (Joules) = 4.264038"
"Cumulative DRAM Energy_0 (mWh) = 1.184455"
"Average Package DRAM_0 (Watt) = 0.707403"
