Iteration,Architecture,ScenarioPath,Average_CPU,refined
1,micro,1,617.9581661442006,True
1,micro,2,769.9246603970743,True
1,micro,3,1420.3385841170325,True
1,mono,1,620.745893416928,True
1,mono,2,774.0708934169279,True
1,mono,3,1275.861802507837,True
2,micro,1,601.1246869682042,True
2,micro,2,749.3581483803553,True
2,micro,3,1380.250064785789,True
2,mono,1,603.8212843708015,True
2,mono,2,752.1341415136587,True
2,mono,3,1237.5216739811913,True
3,micro,1,620.785867666816,True
3,micro,2,773.3155548589342,True
3,micro,3,1427.2923056426332,True
3,mono,1,623.591289744738,True
3,mono,2,777.8895040304523,True
3,mono,3,1282.8654780564264,True
4,micro,1,625.7808334079714,True
4,micro,2,778.6800961337514,True
4,micro,3,1441.7251546499479,True
4,mono,1,628.6408723690104,True
4,mono,2,785.9430152261532,True
4,mono,3,1300.7500282131662,True
5,micro,1,622.8816356918944,True
5,micro,2,776.1554378265413,True
5,micro,3,1431.3229869383492,True
5,mono,1,625.6879668607255,True
5,mono,2,780.0361811464398,True
5,mono,3,1285.1757915360504,True
6,micro,1,611.916710031348,True
6,micro,2,762.9418537095089,True
6,micro,3,1404.5813516196447,True
6,mono,1,614.6568463949843,True
6,mono,2,765.3643463949843,True
6,mono,3,1258.5888918495298,True
7,micro,1,605.9027536945813,True
7,micro,2,755.732091954023,True
7,micro,3,1389.7853218390803,True
7,mono,1,608.6051822660098,True
7,mono,2,757.2387536945813,True
7,mono,3,1243.675896551724,True
8,micro,1,611.6936695029109,True
8,micro,2,762.2263197492163,True
8,micro,3,1405.5732100313478,True
8,mono,1,614.4491500223913,True
8,mono,2,766.0005785938199,True
8,mono,3,1261.9870721003133,True
9,micro,1,624.3237939991044,True
9,micro,2,777.7480041797284,True
9,micro,3,1435.3398328108674,True
9,mono,1,627.1442615315719,True
9,mono,2,782.2699758172862,True
9,mono,3,1289.954131661442,True
10,micro,1,637.7700273175101,True
10,micro,2,794.283184952978,True
10,micro,3,1466.9936018808778,True
10,mono,1,640.6592870577698,True
10,mono,2,799.5685727720555,True
10,mono,3,1319.6353260188087,True
11,micro,1,661.7768280340349,True
11,micro,2,823.8811745036572,True
11,micro,3,1523.2460198537094,True
11,mono,1,664.7860618002686,True
11,mono,2,830.2939189431257,True
11,mono,3,1371.9559968652036,True
12,micro,1,626.4081325570982,True
12,micro,2,779.9347335423198,True
12,micro,3,1441.5406583072102,True
12,mono,1,629.2533273622929,True
12,mono,2,785.7390416480073,True
12,mono,3,1297.8741065830723,True
13,micro,1,638.8309097626511,True
13,micro,2,795.1137742946707,True
13,micro,3,1471.1205282131662,True
13,mono,1,641.7433058665472,True
13,mono,2,801.9250915808329,True
13,mono,3,1326.1563902821315,True
14,micro,1,632.5062321988357,True
14,micro,2,786.6490721003136,True
14,micro,3,1458.593615987461,True
14,mono,1,635.4119399910435,True
14,mono,2,795.2258685624721,True
14,mono,3,1318.2532711598747,True
15,micro,1,643.124710479176,True
15,micro,2,801.2770971786833,True
15,micro,3,1478.1926128526645,True
15,mono,1,646.0260806090461,True
15,mono,2,805.6014377519033,True
15,mono,3,1327.8480611285265,True
16,micro,1,625.4025788177339,True
16,micro,2,777.9328505747126,True
16,micro,3,1441.804477011494,True
16,mono,1,628.2712216748769,True
16,mono,2,786.0465788177339,True
16,mono,3,1302.4022931034483,True
17,micro,1,618.6280989699956,True
17,micro,2,770.1728066875653,True
17,micro,3,1423.8947324973878,True
17,mono,1,621.4407613076579,True
17,mono,2,776.1371898790865,True
17,mono,3,1282.4164106583073,True
18,micro,1,635.5115985221676,True
18,micro,2,790.3222298850575,True
18,micro,3,1465.7463045977013,True
18,mono,1,638.4335270935961,True
18,mono,2,799.1395985221675,True
18,mono,3,1325.0867413793105,True
19,micro,1,615.0381724137932,True
19,micro,2,766.1140689655173,True
19,micro,3,1414.2202413793104,True
19,mono,1,617.8191724137931,True
19,mono,2,770.7741724137932,True
19,mono,3,1271.354172413793,True
20,micro,1,627.9313779668607,True
20,micro,2,782.3081546499478,True
20,micro,3,1443.40681400209,True
20,mono,1,630.7656766681595,True
20,mono,2,786.6521052395881,True
20,mono,3,1296.8258714733543,True
21,micro,1,611.706527093596,True
21,micro,2,762.0655632183908,True
21,micro,3,1406.2104712643677,True
21,mono,1,614.4686699507389,True
21,mono,2,766.386527093596,True
21,mono,3,1263.5722413793103,True
22,micro,1,622.3665506045678,True
22,micro,2,775.9711786833856,True
22,micro,3,1428.5663526645767,True
22,mono,1,625.1534661889834,True
22,mono,2,778.4338233318406,True
22,mono,3,1280.0786285266456,True
23,micro,1,627.2437948947604,True
23,micro,2,781.4584911180773,True
23,micro,3,1441.802355276907,True
23,mono,1,630.0747299596954,True
23,mono,2,785.776158531124,True
23,mono,3,1295.3444702194356,True
24,micro,1,615.9384411106136,True
24,micro,2,768.4081504702194,True
24,micro,3,1412.2589811912226,True
24,mono,1,618.6797008508732,True
24,mono,2,769.448986565159,True
24,mono,3,1262.8757398119121,True
25,micro,1,627.8224296909987,True
25,micro,2,781.8514420062696,True
25,micro,3,1444.2598197492164,True
25,mono,1,630.6682283922975,True
25,mono,2,787.187156963726,True
25,mono,3,1299.4309231974923,True
26,micro,1,607.8465073891625,True
26,micro,2,757.0655172413793,True
26,micro,3,1397.9943103448277,True
26,mono,1,610.5983645320197,True
26,mono,2,761.9505073891626,True
26,mono,3,1257.2847931034482,True
27,micro,1,613.8340349305867,True
27,micro,2,765.9343239289445,True
27,micro,3,1406.9130428422152,True
27,mono,1,616.5602686968203,True
27,mono,2,766.5031258396775,True
27,mono,3,1257.2252037617554,True
28,micro,1,633.6159505150023,True
28,micro,2,789.8262633228841,True
28,micro,3,1454.9749670846397,True
28,mono,1,636.4596193461712,True
28,mono,2,792.861405060457,True
28,mono,3,1304.7217946708465,True
29,micro,1,635.8612154052844,True
29,micro,2,791.2681086729363,True
29,micro,3,1464.7956530825495,True
29,mono,1,638.7656569637259,True
29,mono,2,798.5099426780116,True
29,mono,3,1321.3094231974922,True
30,micro,1,624.7694090909091,True
30,micro,2,778.5289090909091,True
30,micro,3,1435.5881363636363,True
30,mono,1,627.5834545454545,True
30,mono,2,782.3559545454546,True
30,mono,3,1288.8841363636363,True
