Iteration,Architecture,ScenarioPath,Average_Temperature,refined
1,micro,1,10333.919189431263,True
1,micro,2,12876.582654127486,True
1,micro,3,23747.14383490074,True
1,mono,1,10380.486072548145,True
1,mono,2,12941.664643976717,True
1,mono,3,21323.703605015682,True
2,micro,1,10214.201500223919,True
2,micro,2,12729.932288401258,True
2,micro,3,23463.35846394985,True
2,mono,1,10260.134617107035,True
2,mono,2,12786.456045678464,True
2,mono,3,21054.417084639506,True
3,micro,1,10130.545006717424,True
3,micro,2,12627.368652037623,True
3,micro,3,23265.353918495308,True
3,mono,1,10176.038513210931,True
3,mono,2,12678.18137035379,True
3,mono,3,20867.01253918496,True
4,micro,1,10045.942946708468,True
4,micro,2,12519.115360501572,True
4,micro,3,23080.68557993731,True
4,mono,1,10091.16112852665,True
4,mono,2,12578.16112852665,True
4,mono,3,20717.43385579938,True
5,micro,1,9961.025481415141,True
5,micro,2,12414.22006269593,True
5,micro,3,22882.397492163018,True
5,mono,1,10005.826780116438,True
5,mono,2,12469.89820868787,True
5,mono,3,20534.131974921638,True
6,micro,1,9935.051992834755,True
6,micro,2,12383.033437826545,True
6,micro,3,22818.66248693836,True
6,mono,1,9979.692252575014,True
6,mono,2,12434.906538289302,True
6,mono,3,20470.15329153606,True
7,micro,1,9925.288490819528,True
7,micro,2,12370.976175548594,True
7,micro,3,22795.852978056435,True
7,mono,1,9969.880698611736,True
7,mono,2,12422.452127183167,True
7,mono,3,20449.049529780572,True
8,micro,1,9919.91336766682,True
8,micro,2,12365.350888192272,True
8,micro,3,22779.81447230931,True
8,mono,1,9964.441289744742,True
8,mono,2,12413.477004030457,True
8,mono,3,20428.502978056433,True
9,micro,1,9912.66719659651,True
9,micro,2,12355.482549634278,True
9,micro,3,22766.048014629057,True
9,mono,1,9957.193819973134,True
9,mono,2,12406.15810568742,True
9,mono,3,20420.950313479632,True
10,micro,1,9884.939789520828,True
10,micro,2,12323.115569487989,True
10,micro,3,22694.827220480678,True
10,mono,1,9929.259919390957,True
10,mono,2,12366.867062248102,True
10,mono,3,20344.490438871482,True
11,micro,1,9965.115136587554,True
11,micro,2,12425.162591431563,True
11,micro,3,22871.69634273773,True
11,mono,1,10009.716435288854,True
11,mono,2,12462.787863860283,True
11,mono,3,20491.021630094052,True
12,micro,1,10029.653448275865,True
12,micro,2,12506.708045977015,True
12,micro,3,23016.128160919547,True
12,mono,1,10074.503448275866,True
12,mono,2,12541.253448275866,True
12,mono,3,20614.253448275867,True
13,micro,1,10024.29955217197,True
13,micro,2,12498.9565308255,True
13,micro,3,23007.538766980153,True
13,mono,1,10069.165785938203,True
13,mono,2,12536.808643081062,True
13,mono,3,20612.730721003143,True
14,micro,1,10117.89126735334,True
14,micro,2,12616.81901776385,True
14,micro,3,23218.339289446194,True
14,mono,1,10163.132825794899,True
14,mono,2,12651.418540080613,True
14,mono,3,20794.899059561136,True
15,micro,1,10026.859829825351,True
15,micro,2,12503.39414838036,True
15,micro,3,23009.134064785798,True
15,mono,1,10071.690998656519,True
15,mono,2,12537.405284370805,True
15,mono,3,20607.015673981197,True
16,micro,1,10099.25602328706,True
16,micro,2,12593.957993730412,True
16,micro,3,23174.280250783708,True
16,mono,1,10144.400179131217,True
16,mono,2,12627.32875055979,True
16,mono,3,20753.276802507844,True
17,micro,1,10131.430161218095,True
17,micro,2,12633.914315569493,True
17,micro,3,23248.67737722049,True
17,mono,1,10176.724317062251,True
17,mono,2,12667.902888490824,True
17,mono,3,20820.85094043888,True
18,micro,1,10180.04641737573,True
18,micro,2,12695.385579937309,True
18,micro,3,23357.326802507843,True
