#,DateTime,Architecture,File,Total Elapsed Time (sec),Cumulative Package Energy_0 (mWh),Cumulative IA Energy_0 (mWh),Cumulative DRAM Energy_0 (mWh)
2,19-09-23T19-32-10,mono,api-baseline,7.050999,14.575399,6.151784,1.900499
2,19-09-23T19-32-10,mono,api-monitor,7.032324,11.806861,6.867947,1.691182
2,19-09-23T19-32-10,mono,frontend-baseline,6.025977,1.917691,0.916765,1.126879
2,19-09-23T19-32-10,mono,frontend-monitor,6.039228,32.049544,26.381938,1.571672
3,19-09-23T19-32-10,mono,api-baseline,7.044226,13.228048,3.899570,1.848619
3,19-09-23T19-32-10,mono,api-monitor,7.047698,12.568359,4.627567,1.843804
3,19-09-23T19-32-10,mono,frontend-baseline,6.048976,9.602729,3.154687,1.552141
3,19-09-23T19-32-10,mono,frontend-monitor,6.020111,2.667491,1.334245,1.160448
4,19-09-23T19-32-10,mono,api-baseline,7.033904,35.061527,27.148743,1.873186
4,19-09-23T19-32-10,mono,api-monitor,7.047439,10.974952,6.829444,1.643389
4,19-09-23T19-32-10,mono,frontend-baseline,6.037215,13.493025,4.049733,1.684774
4,19-09-23T19-32-10,mono,frontend-monitor,6.039848,13.188850,4.605306,1.649526
5,19-09-23T19-32-10,mono,api-baseline,7.047124,2.901272,1.502736,1.352030
5,19-09-23T19-32-10,mono,api-monitor,7.025517,4.421065,2.289920,1.432207
5,19-09-23T19-32-10,mono,frontend-baseline,6.024501,51.115994,48.457438,1.311815
5,19-09-23T19-32-10,mono,frontend-monitor,6.034895,9.122789,5.760481,1.537577
6,19-09-23T19-32-10,mono,api-baseline,7.049416,20.114509,17.401021,1.275160
6,19-09-23T19-32-10,mono,api-monitor,7.049562,2.509901,1.137644,1.357405
6,19-09-23T19-32-10,mono,frontend-baseline,6.026636,12.947795,4.061313,1.694065
6,19-09-23T19-32-10,mono,frontend-monitor,6.039109,11.906297,3.752814,1.659173
7,19-09-23T19-32-10,mono,api-baseline,7.036741,12.554813,4.003126,1.845991
7,19-09-23T19-32-10,mono,api-monitor,7.043957,10.767093,3.964674,1.872796
7,19-09-23T19-32-10,mono,frontend-baseline,6.041594,8.398539,2.557848,1.570604
7,19-09-23T19-32-10,mono,frontend-monitor,6.025833,2.462073,1.236115,1.151055
8,19-09-23T19-32-10,mono,api-baseline,7.050907,7.849494,3.608127,1.724141
8,19-09-23T19-32-10,mono,api-monitor,7.036611,12.302433,3.992394,1.922489
8,19-09-23T19-32-10,mono,frontend-baseline,6.030258,40.464545,37.279239,1.626417
8,19-09-23T19-32-10,mono,frontend-monitor,6.015876,42.157118,39.507260,1.263919
9,19-09-23T19-32-10,mono,api-baseline,7.041751,33.210229,27.673170,1.769274
9,19-09-23T19-32-10,mono,api-monitor,7.031033,8.505605,5.518968,1.629893
9,19-09-23T19-32-10,mono,frontend-baseline,6.024319,2.604167,1.378462,1.178046
9,19-09-23T19-32-10,mono,frontend-monitor,6.038853,6.937307,3.929460,1.428121
1,20-09-23T02-30-52,micro,api-baseline,12.075332,8.790843,5.747765,2.367164
1,20-09-23T02-30-52,micro,api-monitor,12.071274,33.582458,10.093706,3.115811
1,20-09-23T02-30-52,micro,frontend-baseline,11.070287,33.771057,28.527781,2.540283
1,20-09-23T02-30-52,micro,frontend-monitor,11.064440,32.115089,11.287994,3.005422
10,20-09-23T02-30-52,micro,api-baseline,12.035450,4.150950,1.865336,2.260217
10,20-09-23T02-30-52,micro,api-monitor,12.029427,6.467234,4.008399,2.309248
10,20-09-23T02-30-52,micro,frontend-baseline,11.046653,4.067722,1.881426,2.119988
10,20-09-23T02-30-52,micro,frontend-monitor,11.031285,4.064551,1.858402,2.126126
2,20-09-23T02-30-52,micro,api-baseline,12.050066,20.859850,16.557312,2.813331
2,20-09-23T02-30-52,micro,api-monitor,12.064895,5.941620,3.398065,2.269813
2,20-09-23T02-30-52,micro,frontend-baseline,11.052785,31.351352,7.940589,2.823639
2,20-09-23T02-30-52,micro,frontend-monitor,11.087132,13.981306,4.664900,2.321370
3,20-09-23T02-30-52,micro,api-baseline,12.060300,31.967638,8.232727,3.123067
3,20-09-23T02-30-52,micro,api-monitor,12.065233,37.618985,8.725399,3.106859
3,20-09-23T02-30-52,micro,frontend-baseline,11.058222,30.188124,7.626784,2.860955
3,20-09-23T02-30-52,micro,frontend-monitor,11.061750,4.203440,2.041575,2.097117
4,20-09-23T02-30-52,micro,api-baseline,12.052835,38.614468,8.997498,3.089159
4,20-09-23T02-30-52,micro,api-monitor,12.075431,22.173462,6.459266,3.247901
4,20-09-23T02-30-52,micro,frontend-baseline,11.060811,21.782464,6.377835,2.997420
4,20-09-23T02-30-52,micro,frontend-monitor,11.062522,31.337552,26.451196,2.528432
5,20-09-23T02-30-52,micro,api-baseline,12.086336,23.103349,12.951898,3.036499
5,20-09-23T02-30-52,micro,api-monitor,12.051131,23.385824,6.829885,3.261787
5,20-09-23T02-30-52,micro,frontend-baseline,11.054395,19.542898,6.257426,3.005303
5,20-09-23T02-30-52,micro,frontend-monitor,11.051426,28.969354,23.882141,2.567969
6,20-09-23T02-30-52,micro,api-baseline,12.068393,23.475545,9.834425,3.288320
6,20-09-23T02-30-52,micro,api-monitor,12.067000,32.455953,23.933953,3.678758
6,20-09-23T02-30-52,micro,frontend-baseline,11.077015,19.037882,6.504669,2.753974
6,20-09-23T02-30-52,micro,frontend-monitor,11.067504,5.063833,2.726067,2.140910
7,20-09-23T02-30-52,micro,api-baseline,12.068065,25.117645,7.463667,3.336690
7,20-09-23T02-30-52,micro,api-monitor,12.062721,20.017361,5.935550,3.202684
7,20-09-23T02-30-52,micro,frontend-baseline,11.059707,17.096507,5.265350,2.932163
7,20-09-23T02-30-52,micro,frontend-monitor,11.091532,19.730038,5.951657,2.912072
8,20-09-23T02-30-52,micro,api-baseline,12.075839,15.275336,4.990268,3.065355
8,20-09-23T02-30-52,micro,api-monitor,12.031626,6.353997,3.346388,2.434947
8,20-09-23T02-30-52,micro,frontend-baseline,11.045764,25.593211,7.583042,3.164605
