"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"00:03:30:224","230093742310482","   1.010","   1.455"," 1601"," 1200"," 2900"," 1614","   1.465","   1.479","   0.411","   0.631","   0.637","   0.177"," 60","0"," 58"," 61","   0.723","   0.730","   0.203","  45.000","    0","    0"
"00:03:31:238","230096079443092","   2.024","   3.876"," 2938"," 1200"," 4600"," 3169","   6.262","   7.831","   2.175","   5.118","   5.829","   1.619"," 64","0"," 58"," 70","   0.656","   1.396","   0.388","  45.000","    0","    0"
"00:03:32:244","230098396852104","   3.030","   3.680"," 3319"," 1200"," 4600"," 3593","   7.383","  15.257","   4.238","   6.120","  11.985","   3.329"," 60","0"," 58"," 67","   0.692","   2.093","   0.581","  45.000","    0","    0"
"00:03:33:248","230100710320154","   4.034","   2.789"," 2307"," 1200"," 3600"," 2833","   3.082","  18.352","   5.098","   2.127","  14.121","   3.922"," 60","0"," 58"," 67","   0.749","   2.844","   0.790","  45.000","    0","    0"
"00:03:34:249","230103015470548","   5.035","   3.279"," 2843"," 1200"," 4400"," 2985","   5.109","  23.464","   6.518","   4.064","  18.187","   5.052"," 63","0"," 57"," 66","   0.650","   3.495","   0.971","  45.000","    0","    0"
"00:03:35:258","230105339704700","   6.043","   4.912"," 3568"," 1500"," 4600"," 3889","  10.355","  33.909","   9.419","   8.935","  27.200","   7.556"," 63","0"," 58"," 66","   0.627","   4.128","   1.147","  45.000","    0","    0"

"Total Elapsed Time (sec) = 6.043445"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 33.909363"
"Cumulative Package Energy_0 (mWh) = 9.419267"
"Average Package Power_0 (Watt) = 5.610933"

"Cumulative IA Energy_0 (Joules) = 27.200073"
"Cumulative IA Energy_0 (mWh) = 7.555576"
"Average Package IA_0 (Watt) = 4.500756"

"Cumulative DRAM Energy_0 (Joules) = 4.128113"
"Cumulative DRAM Energy_0 (mWh) = 1.146698"
"Average Package DRAM_0 (Watt) = 0.683073"
