"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"21:42:49:760","210647170016970","   1.001","   7.577"," 1590"," 1200"," 4400"," 1617","   4.707","   4.711","   1.309","   2.122","   2.123","   0.590"," 62","0"," 59"," 73","   0.993","   0.994","   0.276","  45.000","  450","  433"
"21:42:50:774","210649504875002","   2.014","   4.532"," 1581"," 1200"," 3100"," 1596","   5.083","   9.861","   2.739","   1.613","   3.758","   1.044"," 66","0"," 59"," 63","   1.010","   2.018","   0.560","  45.000","  750","  733"
"21:42:51:783","210651831163082","   3.024","   7.713"," 1582"," 1200"," 3600"," 1639","   6.020","  15.940","   4.428","   2.429","   6.210","   1.725"," 64","0"," 59"," 69","   1.000","   3.027","   0.841","  45.000","  650","  633"
"21:42:52:790","210654151136242","   4.031","   9.310"," 1651"," 1200"," 3600"," 1771","   6.069","  22.051","   6.125","   3.152","   9.384","   2.607"," 62","0"," 59"," 69","   1.000","   4.035","   1.121","  45.000","    0","    0"
"21:42:53:794","210656463981568","   5.034","   6.399"," 1466"," 1200"," 3100"," 1479","   4.259","  26.326","   7.313","   1.670","  11.061","   3.073"," 63","0"," 59"," 63","   0.975","   5.013","   1.393","  45.000","    0","    0"
"21:42:54:799","210658778550108","   6.039","   8.392"," 1531"," 1200"," 3500"," 1556","   4.885","  31.233","   8.676","   2.335","  13.407","   3.724"," 63","0"," 59"," 67","   0.978","   5.996","   1.665","  45.000","  400","  400"
"21:42:55:800","210661085278522","   7.040","   4.502"," 1495"," 1200"," 3100"," 1505","   6.209","  37.449","  10.402","   1.656","  15.065","   4.185"," 67","0"," 59"," 63","   0.998","   6.995","   1.943","  45.000","  900","  900"

"Total Elapsed Time (sec) = 7.040229"
"Measured RDTSC Frequency (GHz) = 2.304"

"Cumulative Package Energy_0 (Joules) = 37.448914"
"Cumulative Package Energy_0 (mWh) = 10.402476"
"Average Package Power_0 (Watt) = 5.319275"

"Cumulative IA Energy_0 (Joules) = 15.065125"
"Cumulative IA Energy_0 (mWh) = 4.184757"
"Average Package IA_0 (Watt) = 2.139863"

"Cumulative DRAM Energy_0 (Joules) = 6.995178"
"Cumulative DRAM Energy_0 (mWh) = 1.943105"
"Average Package DRAM_0 (Watt) = 0.993601"
